DIRECTORATE,SUPPLIER,SUPPLIER NAME,TRANS NOS,AMOUNT,TRANS DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER GROUP
ADCHILD,ANGL05,Anglian Water,10481138,495.63,23/03/2015,Premises,Water Charges,Utilities
ADCHILD,APET98,Apetito Ltd,10479884,"4,184.97",31/03/2015,Transfer Payments,Meals,General Creditors
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,443.56,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"2,822.52",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"3,010.32",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"2,705.20",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"2,651.08",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,443.56,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"3,013.32",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"2,696.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126101,"2,956.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126102,"2,761.40",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,APEX99,Apex Care Homes Ltd,20126102,"2,744.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,"5,540.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,"5,640.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,"5,540.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,"6,384.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,APEX99,Apex Care Homes Ltd,20126103,"5,964.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,APTC99,Apt Care Ltd,10478417,"2,712.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,784.00,10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"5,362.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,805.00,10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"1,582.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"8,381.50",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"12,310.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"1,265.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,378.00,10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,414.52,10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"6,204.50",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10478417,"3,669.00",10/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"3,669.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"6,058.25",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,414.52,25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"1,732.50",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"1,004.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"4,612.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"12,023.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"4,128.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"1,582.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,805.00,25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,784.00,25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,APTC99,Apt Care Ltd,10481718,"2,712.00",25/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ARAG02,Aragon Housing Association,10482024,"5,414.12",02/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,ARAG02,Aragon Housing Association,10482025,"1,200.00",02/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,ARAG02,Aragon Housing Association,10482026,982.88,02/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,ARAG02,Aragon Housing Association,10482027,"1,200.00",02/04/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,ARIS98,Aristo-Tots Private Nursery School,10480415,"30,828.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,ASDA97,Asdan,10479839,445.30,19/03/2015,Transfer Payments,Equip & Field Trips (Further Education),General Creditors
ADCHILD,ASHD98,Ashdene Care Home,20126104,"1,493.62",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ASHD98,Ashdene Care Home,20126104,324.70,08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ASHF03,Ashfields Care Limited,20126105,"1,860.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ATHE01,Athena Housing & Support,10470023,366.45,01/09/2014,Transfer Payments,Other Social Services Payments,General Creditors
ADCHILD,AUTI99,Autism Bedfordshire,10480321,"1,000.00",08/04/2015,Transfer Payments,Contract payments - Voluntary Associations,General Creditors
ADCHILD,AUTI99,Autism Bedfordshire,10482589,"20,000.00",08/04/2015,Transfer Payments,Contract payments - Voluntary Associations,General Creditors
ADCHILD,AUTI03,Autism Care (UK) Ltd,20126106,"7,888.40",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,AUTI03,Autism Care (UK) Ltd,20126106,"4,247.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BAAF99,BAAF,10477903,"2,700.00",12/03/2015,Supplies,Marketing & Promotion,General Creditors
ADCHILD,BAAF99,BAAF,10479534,"1,308.72",24/03/2015,Supplies,Subscriptions,General Creditors
ADCHILD,BARC07,Barchester Healthcare - Collingtree Park,20126107,"1,748.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BARC95,Barchester Healthcare Ltd,20126108,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BARC95,Barchester Healthcare Ltd,20126108,"1,941.84",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BARN98,Barnfield College,10480847,484.00,15/04/2015,Transfer Payments,Top-Ups - Maintained Providers,General Creditors
ADCHILD,BAYH01,Bay House Residential Care Home,20126109,"1,836.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BDPS01,BDP Social Care Ltd,10479730,480.00,28/03/2015,Supplies,Court and Legal Fees,General Creditors
ADCHILD,BDPS01,BDP Social Care Ltd,10481039,"3,960.00",11/04/2015,Supplies,High Level Family Support,General Creditors
ADCHILD,BDPS01,BDP Social Care Ltd,10482262,407.00,14/03/2015,Supplies,Interpretation Services,General Creditors
ADCHILD,BDPS01,BDP Social Care Ltd,10483326,"3,030.00",25/04/2015,Supplies,High Level Family Support,General Creditors
ADCHILD,BDPS01,BDP Social Care Ltd,10483328,877.50,25/04/2015,Transfer Payments,Contact,General Creditors
ADCHILD,BEAC98,Beacon House,20126110,416.00,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,BEAC98,Beacon House,20126110,"2,556.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,750.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"1,120.00",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"1,912.28",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"1,500.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,582.15",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,443.56,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"13,040.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,"2,080.00",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,BEAC98,Beacon House,20126110,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BEAC98,Beacon House,20126110,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,BECH01,BECHAR,10482305,"8,527.00",20/04/2015,Transfer Payments,Contract payments - Voluntary Associations,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480057,708.90,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480058,564.90,28/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480059,358.00,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480060,378.50,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480061,833.20,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480063,430.00,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480064,"1,191.00",31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDA02,Beda Homecare Ltd t/a Home Instead Senior Care,10480065,669.00,15/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,BEDF06,Bedford Citizens Advice Bureau,10482302,"44,450.00",21/04/2015,Transfer Payments,Contract payments - Voluntary Associations,General Creditors
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,10483524,"2,559.33",28/04/2015,Transfer Payments,Other Social Services Payments,General Creditors
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,120.00",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,720.00,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,224.16",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126112,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"1,016.44",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,695.80,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,520.68,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,414.80,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,556.64,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,411.16,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"1,545.60",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,887.88,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"2,761.60",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,367.80,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"1,562.20",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,277.38,15/04/2015,Customer & Client Receipts,Homecare & Daycare Contributions,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,477.12,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,250.00,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,303.92,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,318.08,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,274.12,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,749.64,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"2,400.00",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,412.46,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"1,190.00",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,437.36,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,789.96,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,252.00,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"3,200.00",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"3,570.00",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"4,629.68",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,749.64,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,695.80,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,"1,335.96",15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,991.84,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,755.44,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,320.32,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20126974,411.20,15/04/2015,Transfer Payments,Social Services Direct Payments,
ADCHILD,BEDF08,Bedford College,10480848,"20,835.90",15/04/2015,Transfer Payments,Top-Ups - Maintained Providers,General Creditors
ADCHILD,BEDF82,Bedford Free School,10480684,"2,206.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,General Creditors
