Directorate,Supplier,Supplier Name,TransNo,Amount,Trans.date,Expense Area,Expense Type
ADCHILD,AGSC01,AGS Cars Ltd,10509096,300.00,01/09/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"1,470.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"1,280.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,256.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"3,190.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,560.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"3,082.76",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"2,756.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,AIRE98,The Airedale Nursing Home,20135608,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,ALAM99,Alameda Middle School,10510553,"1,500.00",16/09/2015,Transfer Payments,Payments to Schools
ADCHILD,ALBA04,Alban Church of England Academy,10509389,454.00,09/09/2015,Transfer Payments,Top-Ups - Academies & Free Schools
ADCHILD,ALBA04,Alban Church of England Academy,10509990,"9,000.00",14/09/2015,Transfer Payments,Payments to Academies
ADCHILD,ALDE03,Alderlea Care Home,20135609,"1,666.60",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,ALDW99,Aldwyck Housing Association Ltd,10511906,"2,080.37",25/09/2015,Transfer Payments,Other Social Services Payments
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10505566,923.20,16/08/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10505568,748.50,16/08/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510317,773.45,13/09/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510318,817.16,13/09/2015,Transfer Payments,High Level Family Support CWD
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510835,403.97,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510837,354.39,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510839,410.85,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510839,881.52,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510839,447.09,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10510839,391.56,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,472.68,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,"6,689.11",16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,945.56,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,735.28,16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,"3,108.24",16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI94,Allied Healthcare Group Ltd,10511408,"5,153.66",16/08/2015,Transfer Payments,Home Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10506312,"3,044.51",25/08/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10506314,"4,071.06",25/08/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10506567,"3,290.34",25/08/2015,Transfer Payments,Independent Foster Care
ADCHILD,ALLI96,Alliance Foster Care Ltd,10509307,"2,884.00",26/06/2015,Transfer Payments,Childcare
ADCHILD,ALLI96,Alliance Foster Care Ltd,10509308,"2,884.00",26/06/2015,Transfer Payments,Childcare
ADCHILD,ALLN01,All Nations Pre-School,10507607,"11,841.00",02/09/2015,Transfer Payments,Govt Grant - Funds delegated by the LA
ADCHILD,ALMO99,The Almonds Pre-School,10507663,"9,076.00",02/09/2015,Transfer Payments,Govt Grant - Funds delegated by the LA
ADCHILD,ALPH06,Alphonsus Services Ltd,20135610,"4,000.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,ANCH07,Anchor Trust,10511907,"1,636.29",25/09/2015,Transfer Payments,Other Social Services Payments
ADCHILD,ANGE03,Angel Care Homes,20135611,"2,160.84",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,ANGI01,Alternative Directions,10490042,"1,900.80",01/06/2015,Supplies,Professional Fees
ADCHILD,ANGL05,Anglian Water,10507116,348.13,24/08/2015,Premises,Water Charges
ADCHILD,ANGL05,Anglian Water,10507116,375.09,24/08/2015,Premises,Sewerage Charges
ADCHILD,ANGL05,Anglian Water,10511506,280.07,21/09/2015,Premises,Sewerage Charges
ADCHILD,APET98,Apetito Ltd,10506001,"5,743.92",20/08/2015,Transfer Payments,Meals
ADCHILD,APET98,Apetito Ltd,10511054,"7,158.86",18/09/2015,Transfer Payments,Meals
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"3,010.32",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,956.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"3,013.32",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,696.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,443.56,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,705.20",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"1,700.00",23/09/2015,Transfer Payments,Respite Care
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,822.52",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,443.56,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,"2,651.08",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135612,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135613,"2,744.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,APEX99,Apex Care Homes Ltd,20135613,"2,761.40",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,"6,384.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,"5,640.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,"5,540.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,"5,964.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,"5,540.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APEX99,Apex Care Homes Ltd,20135614,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,APTC99,Apt Care Ltd,10508786,406.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,644.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,"4,397.00",22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,"4,999.00",22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,"4,312.00",22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,300.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,581.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,455.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,818.75,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,"9,178.75",22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,414.52,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,756.00,22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10508786,"6,505.00",22/06/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510051,"2,066.25",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510051,465.50,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510051,"1,351.25",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510051,"1,099.25",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510051,"1,276.25",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,"4,397.00",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,"5,182.50",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,"1,949.50",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,581.00,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,706.25,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,"9,023.50",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,756.00,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,414.52,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,"6,456.00",08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,644.00,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,455.00,08/07/2015,Transfer Payments,Home Care
ADCHILD,APTC99,Apt Care Ltd,10510059,406.00,08/07/2015,Transfer Payments,Home Care
ADCHILD,ARAG02,Aragon Housing Association,10507231,"1,639.93",20/08/2015,Supplies,Purchase of Equipment
ADCHILD,ARAG02,Aragon Housing Association,10510826,532.85,02/09/2015,Premises,Rent Paid
ADCHILD,ARAG02,Aragon Housing Association,10510827,535.95,02/09/2015,Premises,Rent Paid
ADCHILD,ARCH94,Archway Care Ltd,10509515,"3,600.60",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARCH94,Archway Care Ltd,10509516,"3,600.60",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARCH94,Archway Care Ltd,10509517,"3,600.60",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARCH94,Archway Care Ltd,10509518,"3,600.60",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARCH94,Archway Care Ltd,10509519,"3,420.60",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARCH94,Archway Care Ltd,10509520,"3,504.00",30/09/2015,Transfer Payments,Independent Foster Care
ADCHILD,ARIS98,Aristo-Tots Private Nursery School,10507603,"8,547.00",02/09/2015,Transfer Payments,Govt Grant - Funds delegated by the LA
ADCHILD,ARJO01,Arjo Limited,10504618,292.32,05/08/2015,Supplies,Repairs on Equipment
ADCHILD,ARJO01,Arjo Limited,10508420,293.96,28/08/2015,Premises,Annual Maintenance of Fixtures & Fittings
ADCHILD,ARJO01,Arjo Limited,10508603,277.00,03/06/2015,Supplies,Repairs on Equipment
ADCHILD,ARJO01,Arjo Limited,10510344,273.30,03/06/2015,Premises,Annual Maintenance of Fixtures & Fittings
ADCHILD,ARJO01,Arjo Limited,10511485,672.62,30/06/2015,Premises,Annual Maintenance of Fixtures & Fittings
ADCHILD,ASDA97,Asdan,10509314,355.00,01/09/2015,Supplies,Learning Resources - Other
ADCHILD,ASHF03,Ashfields Care Limited,20135615,"1,860.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,ASSO06,The Association of Directors of Adult Social Services ,10506936,499.00,12/03/2014,Supplies,Miscellaneous Expenditure
ADCHILD,ATHE01,Athena Housing & Support,10508596,"4,557.14",04/09/2015,Transfer Payments,Leaving Care Accommodation
ADCHILD,ATHE01,Athena Housing & Support,10508597,"1,682.86",04/09/2015,Transfer Payments,Leaving Care Accommodation
ADCHILD,ATHE01,Athena Housing & Support,10508805,"3,857.14",04/09/2015,Transfer Payments,Leaving Care Accommodation
ADCHILD,ATHE01,Athena Housing & Support,10508815,"3,321.43",04/09/2015,Transfer Payments,Leaving Care Accommodation
ADCHILD,ATHE01,Athena Housing & Support,10509116,256.41,04/09/2015,Transfer Payments,Living Expenses
ADCHILD,ATHE01,Athena Housing & Support,10510413,"4,428.57",04/09/2015,Transfer Payments,Leaving Care Accommodation
ADCHILD,ATOC01,ATOC Rail Travel Account,10508878,475.80,21/08/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,ATOC01,ATOC Rail Travel Account,10508878,523.00,21/08/2015,Transfer Payments,Transport & Meals (Social Services Care)
ADCHILD,AUTI03,Autism Care (UK) Ltd,20135616,"9,596.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,AUTI03,Autism Care (UK) Ltd,20135616,"8,872.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,AUTI03,Autism Care (UK) Ltd,20135616,"4,247.60",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,AVEN97,Avenue House (Jasmine Health Care),20135617,"1,815.04",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,AVEN97,Avenue House (Jasmine Health Care),20135617,"1,815.04",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BAIG01,N.A. Baig Limited,10508130,360.00,16/03/2015,Supplies,Professional Fees
ADCHILD,BANA02,Banana Moon Nursery (Omni People Ltd),10507604,"3,821.00",02/09/2015,Transfer Payments,Govt Grant - Funds delegated by the LA
ADCHILD,BARC07,Barchester Healthcare - Collingtree Park,20135618,"1,748.60",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BARC95,Barchester Healthcare Ltd,20135619,"1,941.84",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BARC95,Barchester Healthcare Ltd,20135619,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BDPS01,BDP Social Care Ltd,10504120,"2,810.00",01/08/2015,Supplies,High Level Family Support
ADCHILD,BDPS01,BDP Social Care Ltd,10504120,525.00,01/08/2015,Supplies,High Level Family Support
ADCHILD,BDPS01,BDP Social Care Ltd,10505337,"2,400.00",15/08/2015,Supplies,High Level Family Support
ADCHILD,BDPS01,BDP Social Care Ltd,10507431,"4,373.38",29/08/2015,Supplies,High Level Family Support
ADCHILD,BDPS01,BDP Social Care Ltd,10509740,"3,020.00",12/09/2015,Supplies,High Level Family Support
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,443.56,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,240.00",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"1,912.28",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,720.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAC98,Beacon House,20135620,"2,556.44",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAU97,Beaumont Park Ltd,20135621,"2,041.56",23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAU97,Beaumont Park Ltd,20135621,448.00,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BEAU97,Beaumont Park Ltd,20135621,656.22,23/09/2015,Transfer Payments,Nursing Home Payments
ADCHILD,BECH01,BECHAR,10505715,"8,527.00",18/08/2015,Transfer Payments,Contract payments - Voluntary Associations
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,10511908,"2,559.33",25/09/2015,Transfer Payments,Other Social Services Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,374.80,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"1,545.60",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,887.88,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,414.80,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"1,236.40",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,759.76,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,324.16,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"2,380.00",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"2,380.00",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,526.76,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,252.00,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,506.52,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"2,400.00",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,769.88,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,303.92,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"4,629.68",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"3,200.00",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"1,361.72",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,749.64,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,709.12,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,283.64,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,445.72,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,789.96,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,252.72,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,685.95,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"1,680.00",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,709.12,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,835.48,03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"2,815.20",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135062,"1,599.80",03/09/2015,Transfer Payments,Social Services Direct Payments
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135622,"2,040.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135622,"2,240.00",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135622,"1,881.60",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135622,"1,836.44",23/09/2015,Transfer Payments,Residential Care Home Placements
ADCHILD,BED030,Bedford Citizens Housing Association Ltd.,20135622,"1,881.60",23/09/2015,Transfer Payments,Residential Care Home Placements
